问题id,问题文本,知识点名称,认知目标层次,知识点类型
0ngN9A9mNU3INF9sRyv,已知⊙O的直径AB长为2，弦AC长为 $\sqrt2$ ，那么弦AC所对的圆周角的度数等于 　                　．,利用圆心角、弧、弦之间的关系进行计算,应用,题型
0Qz5kpSJT4Vm0KaM0tM,2022的倒数是(   )A．2022B．﹣2022 C． $\frac1{2022}$  D． $-\frac1{2022}$,求倒数,理解,题型
0XVBYV3yDGg6VP8Em06,在多项式x﹣y﹣z﹣m﹣n（其中x＞y＞z＞m＞n）中，对相邻的两个字母间任意添加绝对值符号，添加绝对值符号后仍只有减法运算，然后进行去绝对值运算，称此为“绝对操作”．例如：x﹣y﹣|z﹣m|﹣n＝x﹣y﹣z+m﹣n，|x﹣y|﹣z﹣|m﹣n|＝x﹣y﹣z﹣m+n，…．下列说法：①存在“绝对操作”，使其运算结果与原多项式相等；②不存在“绝对操作”，使其运算结果与原多项式之和为0；③所有的“绝对操作”共有7种不同运算结果．其中正确的个数是(   )A．0B．1 C．2D．3,新定义中的材料阅读问题,分析,题型
1KBbnCcQjZ7idKTcQ2k,二十四节气，它基本概括了一年中四季交替的准确时间以及大自然中一些物候等自然现象发生的规律，二十四个节气分别为：春季（立春、雨水、惊蛰、春分、清明、谷雨），夏季（立夏、小满、芒种、夏至、小暑、大暑），秋季（立秋、处暑、白露、秋分、寒露、霜降），冬季（立冬、小雪、大雪、冬至、小寒、大寒），若从二十四个节气中选一个节气，则抽到的节气在夏季的概率为(   )A． $\frac12$ B． $\frac1{12}$ C． $\frac16$ D． $\frac14$,概率的定义,记忆,知识点
1KBbnCcQjZ7idKTcQ2k,二十四节气，它基本概括了一年中四季交替的准确时间以及大自然中一些物候等自然现象发生的规律，二十四个节气分别为：春季（立春、雨水、惊蛰、春分、清明、谷雨），夏季（立夏、小满、芒种、夏至、小暑、大暑），秋季（立秋、处暑、白露、秋分、寒露、霜降），冬季（立冬、小雪、大雪、冬至、小寒、大寒），若从二十四个节气中选一个节气，则抽到的节气在夏季的概率为(   )A． $\frac12$ B． $\frac1{12}$ C． $\frac16$ D． $\frac14$,利用概率的定义求概率,应用,题型
1YVTkLZxRevI0aUrMhp,在下列事件中，必然事件是(   )A．掷一次骰子，向上一面的点数是3   B．篮球队员在罚球线上投篮一次，未投中   C．经过有交通信号灯的路口，遇到红灯   D．任意画一个三角形，其内角和是180°,确定性事件的定义,记忆,知识点
1YVTkLZxRevI0aUrMhp,在下列事件中，必然事件是(   )A．掷一次骰子，向上一面的点数是3   B．篮球队员在罚球线上投篮一次，未投中   C．经过有交通信号灯的路口，遇到红灯   D．任意画一个三角形，其内角和是180°,事件的识别与判断,理解,题型
2BHtLlu33vMv4U4jxpM,据新华社2022年1月26日报道，2021年全年新增减税降费约1.1万亿元，有力支持国民经济持续稳定恢复．用科学记数法表示1.1万亿元，可以表示为 　                      　元．,科学记数法的定义,记忆,知识点
2BHtLlu33vMv4U4jxpM,据新华社2022年1月26日报道，2021年全年新增减税降费约1.1万亿元，有力支持国民经济持续稳定恢复．用科学记数法表示1.1万亿元，可以表示为 　                      　元．,用科学记数法表示数及递用还原数,应用,题型
2idDyXvEtU31D78AHe4,先化简，再求值：4xy﹣2xy﹣（﹣3xy），其中x＝2，y＝﹣1．,整式加减的化简与求值,应用,题型
